"TimeCreated","LogName","Level","EventId","ProviderName","ProcessId","ThreadId","Message"
"12/5/2025 3:45:20 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERFAEA.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER53C.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER721.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER73E.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER7DC.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER86B.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_9f9fbad7-f4d6-4541-8aec-f7fc59d191c4\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_9f9fbad7-f4d6-4541-8aec-f7fc59d191c4

Analysis symbol: 
Rechecking for solution: 0
Report Id: 45dbaf1a-00ef-44e2-967c-58ab2bf590a0
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
"12/5/2025 3:45:13 PM","Application","Error","1000","Application Error","0","0","Faulting application name: explorer.exe, version: 10.0.19041.6456, time stamp: 0xfbcace5c
Faulting module name: SHELL32.dll, version: 10.0.19041.6456, time stamp: 0x9ee39b73
Exception code: 0xc0000005
Fault offset: 0x00000000000ad4dc
Faulting process id: 0xf330
Faulting application start time: 0x01dc6630614f97f3
Faulting application path: C:\Windows\explorer.exe
Faulting module path: C:\Windows\System32\SHELL32.dll
Report Id: 45dbaf1a-00ef-44e2-967c-58ab2bf590a0
Faulting package full name: 
Faulting package-relative application ID: "
"12/5/2025 3:34:47 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket 2179361232605035509, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5753.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5C55.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5CD3.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5CE1.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5D20.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER5DB0.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_89519b67-a1e8-47b6-be3b-67468b0b6cf8\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_89519b67-a1e8-47b6-be3b-67468b0b6cf8

Analysis symbol: 
Rechecking for solution: 0
Report Id: e2d26ccb-da34-42b4-ac21-c39053ea9026
Report Status: 268435456
Hashed bucket: 7bc12df7d266c1480e3ea57e8aae3bf5
Cab Guid: 0"
"12/5/2025 3:34:47 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5753.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5C55.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5CD3.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5CE1.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER5D20.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER5DB0.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_89519b67-a1e8-47b6-be3b-67468b0b6cf8\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_89519b67-a1e8-47b6-be3b-67468b0b6cf8

Analysis symbol: 
Rechecking for solution: 0
Report Id: e2d26ccb-da34-42b4-ac21-c39053ea9026
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
"12/5/2025 3:34:41 PM","Application","Error","1000","Application Error","0","0","Faulting application name: explorer.exe, version: 10.0.19041.6456, time stamp: 0xfbcace5c
Faulting module name: SHELL32.dll, version: 10.0.19041.6456, time stamp: 0x9ee39b73
Exception code: 0xc0000005
Fault offset: 0x00000000000ad4dc
Faulting process id: 0x396c
Faulting application start time: 0x01dc662ee7c758ab
Faulting application path: C:\Windows\explorer.exe
Faulting module path: C:\Windows\System32\SHELL32.dll
Report Id: e2d26ccb-da34-42b4-ac21-c39053ea9026
Faulting package full name: 
Faulting package-relative application ID: "
"12/5/2025 3:20:24 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket 2179361232605035509, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER3469.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER3823.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER38C0.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER38CE.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER390D.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER397E.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_13b778e3-f807-4881-8999-21f82762dce4\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_13b778e3-f807-4881-8999-21f82762dce4

Analysis symbol: 
Rechecking for solution: 0
Report Id: 181a167c-e8c0-4368-b280-1ce889ec4d74
Report Status: 268435456
Hashed bucket: 7bc12df7d266c1480e3ea57e8aae3bf5
Cab Guid: 0"
"12/5/2025 3:20:23 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER3469.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER3823.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER38C0.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER38CE.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER390D.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER397E.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_13b778e3-f807-4881-8999-21f82762dce4\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_13b778e3-f807-4881-8999-21f82762dce4

Analysis symbol: 
Rechecking for solution: 0
Report Id: 181a167c-e8c0-4368-b280-1ce889ec4d74
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
"12/5/2025 3:20:21 PM","Application","Error","1000","Application Error","0","0","Faulting application name: explorer.exe, version: 10.0.19041.6456, time stamp: 0xfbcace5c
Faulting module name: SHELL32.dll, version: 10.0.19041.6456, time stamp: 0x9ee39b73
Exception code: 0xc0000005
Fault offset: 0x00000000000ad4dc
Faulting process id: 0xc9bc
Faulting application start time: 0x01dc662ce970e737
Faulting application path: C:\Windows\explorer.exe
Faulting module path: C:\Windows\System32\SHELL32.dll
Report Id: 181a167c-e8c0-4368-b280-1ce889ec4d74
Faulting package full name: 
Faulting package-relative application ID: "
"12/5/2025 3:14:14 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket 2179361232605035509, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER9003.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER93CD.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER944B.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER945C.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER949C.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER9508.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_ef0ea221-1976-4277-a9ec-1b8a0d9518c7\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_ef0ea221-1976-4277-a9ec-1b8a0d9518c7

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9227167f-edb7-47fd-9e27-9164b6175e44
Report Status: 268435456
Hashed bucket: 7bc12df7d266c1480e3ea57e8aae3bf5
Cab Guid: 0"
"12/5/2025 3:14:14 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 00000000000ad4dc
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER9003.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER93CD.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER944B.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER945C.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER949C.tmp.txt
\\?\C:\Users\Buffe\AppData\Local\Temp\WER9508.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_ef0ea221-1976-4277-a9ec-1b8a0d9518c7\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_explorer.exe_a7b470fc69c3d036575d6a873b9efa73e615757_35bf31f6_cab_ef0ea221-1976-4277-a9ec-1b8a0d9518c7

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9227167f-edb7-47fd-9e27-9164b6175e44
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
"12/5/2025 3:14:11 PM","Application","Error","1000","Application Error","0","0","Faulting application name: explorer.exe, version: 10.0.19041.6456, time stamp: 0xfbcace5c
Faulting module name: SHELL32.dll, version: 10.0.19041.6456, time stamp: 0x9ee39b73
Exception code: 0xc0000005
Fault offset: 0x00000000000ad4dc
Faulting process id: 0xd2f0
Faulting application start time: 0x01dc662c0ef8a56b
Faulting application path: C:\Windows\explorer.exe
Faulting module path: C:\Windows\System32\SHELL32.dll
Report Id: 9227167f-edb7-47fd-9e27-9164b6175e44
Faulting package full name: 
Faulting package-relative application ID: "
"12/5/2025 3:12:11 PM","Application","Information","1001","Windows Error Reporting","0","0","Fault bucket 1358077005801851889, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: explorer.exe
P2: 10.0.19041.6456
P3: fbcace5c
P4: SHELL32.dll
P5: 10.0.19041.6456
P6: 9ee39b73
P7: c0000005
P8: 000000000025489b
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERB911.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_explorer.exe_8b70ca4a723121343f0441fa139dac4c3b1586_35bf31f6_11d86d19-61c7-4c95-8999-165bf2707905

Analysis symbol: 
Rechecking for solution: 0
Report Id: 58112b45-a63c-43e1-8b70-22f90ca1adf4
Report Status: 268439552
Hashed bucket: d7785b17df38518462d8dbd764720bf1
Cab Guid: 0"
